70-01-01/03-00-00.000,emp,emp,emp,emp,emp,emp,emp,emp
24-01-23/17-29-16.466,7.309,7.313,16.4,21.8,26.17,26.18,44.985,14.640
24-01-23/17-29-19.991,7.303,7.306,3.3,30.9,26.17,26.18,12.901,14.855
24-01-23/17-29-22.796,7.303,7.305,27.5,77.5,26.17,26.18,19.863,0.511
24-01-23/17-29-25.702,7.306,7.308,40.0,1.8,26.19,26.20,8.643,8.199
24-01-23/17-29-28.953,7.309,7.310,27.5,2.5,26.20,26.21,12.802,32.281
24-01-23/17-29-32.144,7.309,7.311,1.1,10.0,26.20,26.21,14.253,34.171
24-01-23/17-29-34.899,7.312,7.313,33.6,294.2,26.21,26.22,37.507,1.104
24-01-23/17-29-37.855,7.311,7.313,52.5,295.6,26.21,26.22,11.231,4.018
24-01-23/17-29-40.711,7.313,7.316,29.4,1.6,26.21,26.22,10.743,14.481
24-01-23/17-29-43.629,7.313,7.314,10.0,7.3,26.20,26.21,26.388,4.152
24-01-23/17-29-47.093,7.312,7.313,1.3,13.6,26.19,26.20,74.446,2.794
24-01-23/17-29-49.182,7.311,7.313,2.3,8.6,26.19,26.20,12.487,10.454
24-01-23/17-29-53.074,7.312,7.313,9.0,3.6,26.20,26.21,19.464,5.368
24-01-23/17-29-55.772,7.312,7.313,26.9,2.4,26.20,26.21,28.573,2.533
24-01-23/17-29-58.482,7.312,7.313,26.9,16.8,26.20,26.21,29.959,2.533
24-01-23/17-30-01.920,7.312,7.315,7.9,1.7,26.21,26.22,16.241,0.462
24-01-23/17-30-04.909,7.312,7.314,1.3,8.6,26.21,26.22,16.730,14.572
24-01-23/17-30-07.578,7.310,7.313,50.0,113.9,26.20,26.21,90.232,15.096
24-01-23/17-30-10.892,7.304,7.307,24.0,1.8,26.19,26.20,4.347,15.165
24-01-23/17-30-14.040,7.302,7.304,1.1,36.9,26.19,26.20,6.879,26.599
24-01-23/17-30-16.888,7.304,7.305,7.2,1.7,26.19,26.20,46.400,3.817
24-01-23/17-30-19.985,7.305,7.307,2.0,1.9,26.21,26.22,60.400,42.216
24-01-23/17-30-23.037,7.311,7.314,91.3,16.4,26.23,26.24,43.334,3.936
24-01-23/17-30-25.671,7.312,7.314,26.5,2.8,26.23,26.24,49.460,3.936
24-01-23/17-30-29.122,7.313,7.314,47.9,6.3,26.23,26.24,39.106,3.936
24-01-23/17-30-31.771,7.304,7.306,2.0,54.0,26.20,26.21,15.450,4.100
24-01-23/17-30-34.867,7.308,7.310,22.3,87.2,26.21,26.22,26.276,25.838
24-01-23/17-30-38.156,7.309,7.311,15.5,99.8,26.21,26.22,44.116,2.716
24-01-23/17-30-40.983,7.310,7.311,24.0,138.6,26.21,26.23,10.288,94.970
24-01-23/17-30-43.647,7.315,7.316,26.2,2.4,26.23,26.24,13.445,6.467
24-01-23/17-30-46.935,7.316,7.317,3.5,67.4,26.22,26.23,74.493,0.778
24-01-23/17-30-49.648,7.310,7.311,2.3,36.8,26.20,26.21,48.420,20.207
24-01-23/17-30-52.763,7.306,7.308,5.1,22.2,26.20,26.21,16.716,5.139
24-01-23/17-30-55.924,7.304,7.307,1.2,25.1,26.20,26.21,16.716,3.224
