Date,zenBidPrice,zenAskPrice,zenBidQty,zenAskQty,dashBidPrice,dashAskPrice,dashBidQty,dashAskQty

70-01-01/03-00-00.000,emp,emp,emp,emp,emp,emp,emp,emp
24-01-22/14-26-49.334,8.037,8.039,0.7,20.4,28.16,28.17,10.044,27.082
24-01-22/14-26-52.758,8.037,8.039,0.7,20.4,28.16,28.17,6.152,28.607
24-01-22/14-26-55.606,8.036,8.039,12.5,20.4,28.16,28.17,6.670,28.088
24-01-22/14-26-57.642,8.036,8.039,41.0,18.1,28.16,28.17,6.649,27.597
24-01-22/14-27-02.133,8.038,8.039,39.8,3.5,28.16,28.17,11.974,21.511
24-01-22/14-27-05.289,8.040,8.042,11.2,22.5,28.17,28.18,5.500,20.236
24-01-22/14-27-08.272,8.041,8.042,11.2,5.6,28.17,28.18,4.422,19.771
24-01-22/14-27-10.105,8.042,8.044,15.5,22.5,28.17,28.18,9.745,21.899
24-01-22/14-27-13.800,8.042,8.044,8.2,47.5,28.17,28.18,4.815,20.742
24-01-22/14-27-16.832,8.042,8.044,8.2,55.0,28.17,28.18,11.165,20.071
24-01-22/14-27-20.272,8.042,8.043,11.1,50.8,28.18,28.19,23.779,41.425
24-01-22/14-27-23.147,8.042,8.043,29.7,15.5,28.18,28.19,31.807,24.754
24-01-22/14-27-25.705,8.042,8.044,29.7,28.5,28.18,28.19,53.790,25.169
24-01-22/14-27-28.695,8.043,8.045,10.0,23.3,28.18,28.19,58.873,25.169
24-01-22/14-27-28.695,8.043,8.045,10.0,23.3,28.19,28.20,19.041,58.489
24-01-22/14-27-34.704,8.043,8.044,14.3,28.5,28.19,28.20,5.832,64.184
24-01-22/14-27-36.109,8.043,8.044,14.3,28.5,28.19,28.20,7.260,69.361
24-01-22/14-27-36.109,8.043,8.044,14.3,28.5,28.19,28.20,7.465,74.427
24-01-22/14-27-44.245,8.042,8.043,14.0,8.0,28.18,28.19,22.445,21.997
24-01-22/14-27-47.372,8.042,8.043,8.8,8.0,28.18,28.19,5.892,21.997
24-01-22/14-27-47.372,8.042,8.043,8.8,8.0,28.18,28.19,2.638,23.888
24-01-22/14-27-53.330,8.042,8.043,10.1,12.6,28.18,28.19,8.110,26.016
24-01-22/14-27-56.263,8.038,8.041,4.9,38.5,28.17,28.18,50.795,19.058
24-01-22/14-27-59.126,8.035,8.036,28.6,20.0,28.17,28.18,2.588,16.491
24-01-22/14-28-02.316,8.033,8.036,45.2,75.6,28.17,28.18,2.968,16.678
24-01-22/14-28-04.548,8.033,8.035,29.4,37.3,28.17,28.18,3.155,19.169
24-01-22/14-28-06.266,8.033,8.035,48.0,37.3,28.17,28.18,3.155,19.736
24-01-22/14-28-11.183,8.033,8.035,48.0,13.4,28.17,28.18,3.560,19.736
24-01-22/14-28-13.791,8.033,8.035,52.5,16.8,28.17,28.18,4.830,15.059
24-01-22/14-28-16.865,8.033,8.035,39.7,22.7,28.17,28.18,4.830,13.071
24-01-22/14-28-19.745,8.033,8.035,28.0,18.3,28.17,28.18,5.322,11.968
24-01-22/14-28-21.804,8.033,8.035,30.3,15.9,28.17,28.18,5.322,12.535
24-01-22/14-28-21.804,8.033,8.035,30.3,15.9,28.17,28.18,8.239,12.142
24-01-22/14-28-28.961,8.036,8.037,29.8,0.4,28.17,28.18,13.562,11.152
24-01-22/14-28-30.619,8.036,8.037,11.2,0.4,28.17,28.18,8.558,11.152
24-01-22/14-28-30.619,8.036,8.037,11.2,0.4,28.17,28.18,8.558,10.614
24-01-22/14-28-30.619,8.036,8.037,11.2,0.4,28.17,28.18,14.066,10.206
24-01-22/14-28-39.280,8.036,8.039,48.3,17.9,28.17,28.18,8.743,8.580
24-01-22/14-28-44.053,8.036,8.038,48.3,10.0,28.17,28.18,14.307,8.580
24-01-22/14-28-47.312,8.036,8.038,48.3,10.0,28.17,28.18,17.856,8.580
24-01-22/14-28-50.098,8.036,8.038,33.7,10.0,28.18,28.19,22.289,2.296
24-01-22/14-28-51.061,8.036,8.038,33.7,10.0,28.18,28.19,23.506,2.296
24-01-22/14-28-55.767,8.038,8.039,18.6,50.4,28.18,28.19,23.940,2.296
24-01-22/14-28-58.066,8.037,8.039,32.8,19.4,28.18,28.19,25.782,6.228
24-01-22/14-28-58.066,8.037,8.039,32.8,19.4,28.17,28.18,7.140,26.290
24-01-22/14-29-05.114,8.035,8.038,11.5,20.4,28.17,28.18,2.837,31.688
24-01-22/14-29-07.755,8.035,8.038,13.0,17.7,28.17,28.18,2.837,33.071
24-01-22/14-29-10.427,8.038,8.039,11.2,13.4,28.17,28.18,9.234,26.475
24-01-22/14-29-14.352,8.042,8.044,11.2,5.4,28.17,28.18,13.258,20.249
24-01-22/14-29-17.364,8.040,8.043,12.2,34.6,28.17,28.18,10.067,25.152
24-01-22/14-29-19.734,8.041,8.043,1.7,30.8,28.17,28.18,10.424,25.152
24-01-22/14-29-22.908,8.040,8.041,21.1,9.1,28.17,28.18,6.875,25.152
24-01-22/14-29-26.325,8.039,8.040,1.3,20.3,28.17,28.18,7.555,23.351
24-01-22/14-29-28.264,8.038,8.039,4.4,20.3,28.17,28.18,7.198,24.128
24-01-22/14-29-30.399,8.038,8.040,4.4,29.8,28.17,28.18,7.198,30.650
24-01-22/14-29-34.494,8.039,8.041,1.5,20.3,28.17,28.18,7.198,30.471
24-01-22/14-29-37.715,8.039,8.041,3.9,20.3,28.16,28.17,33.659,32.906
24-01-22/14-29-40.694,8.039,8.041,3.9,18.0,28.16,28.17,39.825,33.266
24-01-22/14-29-42.772,8.040,8.041,14.0,0.8,28.17,28.18,15.570,55.964
24-01-22/14-29-45.859,8.040,8.041,34.0,0.8,28.17,28.18,16.408,33.183
24-01-22/14-29-49.313,8.040,8.041,34.0,3.6,28.17,28.18,16.378,33.183
24-01-22/14-29-52.591,8.040,8.041,34.0,3.6,28.17,28.18,16.378,16.121
